Ad Impressions,Adserving Cost,Clicks,Clicks ,Conv1 - CPA,Conv10,Conv2,Conv3,Conv4,Conv5,Conv6,Conv7,Conv8,Conv9,Date,Impressions,Net Cost,Planned Net Cost,mpAd Model,mpAd Rate,mpBudget,mpBuy Model,mpBuy Rate,mpBuy Rate 2,mpBuy Rate 3,mpBuy Rate 4,mpBuy Rate 5,mpCampaign,mpCopy,mpCountry/Region,mpCreative,mpMedia Channel,mpMisc,mpMisc 2,mpMisc 3,mpMisc 4,mpMisc 5,mpMisc 6,mpPlacement Date,mpPlacement Date 2,mpPlacement Date 3,mpPlacement Date 4,mpPlacement Date 5,mpPlacement Name,mpRetailer,mpServing,mpSize,mpTargeting,mpVendor,mpVendor Type,Net Cost Final
0,0.0,189121.0,189121.0,0,0,0,0,0,0,0,0,0,0,2016-08-23,1833783.0,11050.0,0.0,nan,0.0,Launch,Flat,11050.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-23,2007-01-26,2007-01-26,2007-01-26,2007-01-26,Game Store (PS4)_Category Roadblock_1920x1080; 520x520_42605,0.0,0.0,1920x1080; 520x520,0.0,PSN,ON CONSOLE,289.191311175
0,0.0,358069.0,358069.0,0,0,0,0,0,0,0,0,0,0,2016-08-23,25772535.0,180000.0,0.0,nan,0.0,Launch,Flat,180000.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-23,2007-01-26,2007-01-26,2007-01-26,2007-01-26,Game Store (PS4)_Welcome Roadblock_1920x1080_42605,0.0,0.0,1920x1080,0.0,PSN,ON CONSOLE,4710.80868882
0,0.0,36799.0,36799.0,0,0,0,0,0,0,0,0,0,0,2016-08-30,2325532.0,20000.0,0.0,nan,0.0,Launch,Flat,20000.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-08-30,2007-01-26,2007-01-26,2007-01-26,2007-01-26,Game Store (PS4)_New Game Sponsorship_520x520_42612,0.0,0.0,1920x1080,0.0,PSN,ON CONSOLE,0.0
0,0.0,90966.0,90966.0,0,0,0,0,0,0,0,0,0,0,2016-09-23,1017867.0,20000.0,0.0,nan,0.0,DLC 1,Flat,20000.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-23,2007-01-26,2007-01-26,2007-01-26,2007-01-26,PS4_What's New_470x264_42636,0.0,0.0,470x264,0.0,PSN,ON CONSOLE,50.0
0,0.0,77306.0,77306.0,0,0,0,0,0,0,0,0,0,0,2016-10-04,1576222.0,15175.0,0.0,nan,0.0,DLC 1,Flat,15175.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-10-04,2007-01-26,2007-01-26,2007-01-26,2007-01-26,Game Store (PS4)_Category Roadblock_520x520_42647,0.0,0.0,520x520,0.0,PSN,ON CONSOLE,0.0
0,0.0,40433.0,40433.0,0,0,0,0,0,0,0,0,0,0,2016-12-13,3167267.0,23040.0,0.0,nan,0.0,December Promo,Flat,23040.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-13,2007-01-26,2007-01-26,2007-01-26,2007-01-26,Game Store (PS4)_Category Roadblock_520x520_42717,0.0,0.0,520x520,0.0,PSN,ON CONSOLE,76.0
0,0.0,10347.0,10347.0,0,0,0,0,0,0,0,0,0,0,2016-12-16,795991.0,24000.0,0.0,nan,0.0,December Promo,Flat,24000.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-16,2007-01-26,2007-01-26,2007-01-26,2007-01-26,PS4_What's New_470x264_42720,0.0,0.0,470x264,0.0,PSN,ON CONSOLE,0.0
"364,959",0.0,11613.0,0.0,0,0,0,0,0,0,0,0,0,0,2016-09-28,364959.0,8320.0,0.0,nan,0.0,DLC 1,FLAT,8320.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-28,2007-01-26,2007-01-26,2007-01-26,2007-01-26,PS4 New ReleasesDLC_UK,0.0,0.0,0,0.0,PSN - Europe,ON CONSOLE,25.48
"218,370",0.0,5635.0,0.0,0,0,0,0,0,0,0,0,0,0,2016-09-28,218370.0,6400.0,0.0,nan,0.0,DLC 1,FLAT,6400.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-28,2007-01-26,2007-01-26,2007-01-26,2007-01-26,PS4 New ReleasesDLC_FR,0.0,0.0,0,0.0,PSN - Europe,ON CONSOLE,19.6
"328,730",0.0,9007.0,0.0,0,0,0,0,0,0,0,0,0,0,2016-09-28,328730.0,8320.0,0.0,nan,0.0,DLC 1,FLAT,8320.0,0.0,0.0,0.0,0.0,Central Global Digital,0.0,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-09-28,2007-01-26,2007-01-26,2007-01-26,2007-01-26,PS4 New ReleasesDLC_DE,0.0,0.0,0,0.0,PSN - Europe,ON CONSOLE,25.48
