Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Video- US - M 5-7 - Drones - V2400HD - 30 Sec - ToysRUs,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,332,2,2.41,12,2,8
Video- US - M 5-7 - Drones - V2400HD - 30 Sec - Walmart,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,1706,6,11.9,74,14,43
Video- US - M 5-7 - Drones - V2400HD - 30 Sec - Target,Video- US - M 5-7 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,2104,3,23.38,188,78,140
Video- US - M 5-7 - Music - V2400HD - 30 Sec - ToysRUs,Video- US - M 18-45 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,3589,12,25.88,253,70,173
Video- US - M 5-7 - Music - V2400HD - 30 Sec - Walmart,Video- US - M 18-45 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,7353,19,38.96,406,110,268
Video- US - M 5-7 - Music - V2400HD - 30 Sec - Target,Video- US - M 18-45 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,9057,27,60.46,803,271,586
Video- US - M 5-7 - Music - V2400HD - 30 Sec - Walmart,Video- US - M 8-12 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,4390,10,39.93,227,72,157
Video- US - M 5-7 - Music - V2400HD - 30 Sec - Target,Video- US - M 8-12 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,668,0,7.29,35,22,29
Video- US - M 5-7 - Music - V2400HD - 30 Sec - ToysRUs,Video- US - M 8-12 - RC Cars,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,412,1,4.19,21,7,16
Video- US - M 13-17 - Movies - V2400HD - 30 Sec - ToysRUs,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,17830,44,111.88,615,200,415
Video- US - M 8-12 - Music - V2400HD - 30 Sec - ToysRUs,Video- US - M 8-12 - Toys,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,2191,1,19.58,134,38,87
Video- US - M 8-12 - Drones - V2400HD - 30 Sec - Walmart,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,6610,11,58.53,388,119,262
Video- US - M 13-17 - Movies - V2400HD - 30 Sec - Walmart,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,7949,20,51.94,237,69,155
Video- US - M 8-12 - Music - V2400HD - 30 Sec - Walmart,Video- US - M 8-12 - Toys,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,869,5,8.91,54,20,36
Video- US - M 8-12 - Drones - V2400HD - 30 Sec - ToysRUs,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,11727,26,103.86,652,140,415
Video- US - M 8-12 - Music - V2400HD - 30 Sec - Target,Video- US - M 8-12 - Toys,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,6364,17,55.06,362,104,241
Video- US - M 13-17 - Movies - V2400HD - 30 Sec - Target,Video- US - M 13-17 - Movies,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,4893,10,33.7,190,70,132
Video- US - M 8-12 - Drones - V2400HD - 30 Sec - Target,Video- US - M 8-12 - Drones,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,9343,19,91.45,544,128,330
Video- US - M 8-12 - Games - V2400HD - 30 Sec - ToysRUs,Video- US - M 8-12 - Games,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,7320,20,70.19,445,139,288
Video- US - M 5-7 - Games - V2400HD - 30 Sec - ToysRUs,Video- US - M 5-7 - Games,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,9389,34,84.01,665,217,499
Video- US - M 18-45 - Movies - V2400HD - 30 Sec - ToysRUs,Video- US - M 18-45 - Movies,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,2883,7,16.82,272,76,183
Video- US - M 13-17 - TV Shows - V2400HD - 30 Sec - ToysRUs,Video- US - M 13-17 - TV Shows,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,19736,45,117.48,680,213,462
Video- US - M 18-45 - Music - V2400HD - 30 Sec - ToysRUs,Video- US - M 18-45 - Music,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,844,0,3.66,54,28,43
Video- US - M 8-12 - TV Shows - V2400HD - 30 Sec - Walmart,Video- US - M 8-12 - TV Shows,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,1942,2,26.87,139,42,94
Video- US - M 13-17 - YouTube - V2400HD - 30 Sec - Walmart,Video- US - M 13-17 - YouTube,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,14778,32,95.7,510,177,392
Video- US - M 8-12 - Games - V2400HD - 30 Sec - Walmart,Video- US - M 8-12 - Games,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,5074,18,63.3,347,119,238
Video- US - M 13-17 - TV Shows - V2400HD - 30 Sec - Walmart,Video- US - M 13-17 - TV Shows,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,8311,17,44.31,250,86,167
Video- US - M 18-45 - Movies - V2400HD - 30 Sec - Walmart,Video- US - M 18-45 - Movies,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,13801,38,87.0,1164,344,823
Video- US - M 5-7 - Games - V2400HD - 30 Sec - Walmart,Video- US - M 5-7 - Games,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,9,0,0.07,0,0,0
Video- US - M 8-12 - TV Shows - V2400HD - 30 Sec - ToysRUs,Video- US - M 8-12 - TV Shows,Sky Viper - Video Views - Facebook,2016-12-01,2016-12-01,36407,115,355.23,2055,593,1392
